,grado,lambda,MSE_entrenamiento_OLS,MSE_entrenamiento_ridge,MSE_prueba_OLS,MSE_prueba_ridge
0,1.0,0.0,1.2986975515837036,1.2986975515837036,2.6517024948013024,2.6517024948013024
1,1.0,0.01,1.2986975515837036,1.2987092700583585,2.6517024948013024,2.6409195787532833
2,1.0,0.02,1.2986975515837036,1.2987442936640599,2.6517024948013024,2.6302216945004298
3,1.0,0.03,1.2986975515837036,1.2988024262992484,2.6517024948013024,2.619608137146984
4,1.0,0.04,1.2986975515837036,1.2988834740065056,2.6517024948013024,2.60907820929293
5,1.0,0.05,1.2986975515837036,1.2989872449433855,2.6517024948013024,2.5986312209367863
6,1.0,0.06,1.2986975515837036,1.2991135493537143,2.6517024948013024,2.5882664893799108
7,1.0,0.07,1.2986975515837036,1.2992621995393427,2.6517024948013024,2.57798333913218
8,1.0,0.08,1.2986975515837036,1.2994330098323439,2.6517024948013024,2.5677811018192167
9,1.0,0.09,1.2986975515837036,1.299625796567651,2.6517024948013024,2.5576591160908757
10,1.0,0.1,1.2986975515837036,1.2998403780561252,2.6517024948013024,2.547616727531236
11,1.0,0.11,1.2986975515837036,1.3000765745580454,2.6517024948013024,2.5376532885698397
12,1.0,0.12,1.2986975515837036,1.300334208257015,2.6517024948013024,2.527768158394319
13,1.0,0.13,1.2986975515837036,1.3006131032342758,2.6517024948013024,2.5179607028643125
14,1.0,0.14,1.2986975515837036,1.3009130854434208,2.6517024948013024,2.508230294426673
15,1.0,0.15,1.2986975515837036,1.3012339826855057,2.6517024948013024,2.498576312031912
16,1.0,0.16,1.2986975515837036,1.3015756245845427,2.6517024948013024,2.488998141051905
17,1.0,0.17,1.2986975515837036,1.3019378425633747,2.6517024948013024,2.479495173198826
18,1.0,0.18,1.2986975515837036,1.302320469819925,2.6517024948013024,2.4700668064452693
19,1.0,0.19,1.2986975515837036,1.3027233413038135,2.6517024948013024,2.460712444945527
20,1.0,0.2,1.2986975515837036,1.3031462936933311,2.6517024948013024,2.4514314989580575
21,1.0,0.21,1.2986975515837036,1.3035891653727694,2.6517024948013024,2.4422233847690853
22,1.0,0.22,1.2986975515837036,1.304051796410099,2.6517024948013024,2.433087524617326
23,1.0,0.23,1.2986975515837036,1.3045340285349902,2.6517024948013024,2.424023346619771
24,1.0,0.24,1.2986975515837036,1.3050357051171662,2.6517024948013024,2.415030284698638
25,1.0,0.25,1.2986975515837036,1.3055566711450912,2.6517024948013024,2.406107778509279
26,1.0,0.26,1.2986975515837036,1.3060967732049806,2.6517024948013024,2.3972552733692405
27,1.0,0.27,1.2986975515837036,1.3066558594601267,2.6517024948013024,2.3884722201882984
28,1.0,0.28,1.2986975515837036,1.3072337796305462,2.6517024948013024,2.3797580753994816
29,1.0,0.29,1.2986975515837036,1.3078303849729265,2.6517024948013024,2.3711123008911628
30,1.0,0.3,1.2986975515837036,1.3084455282608825,2.6517024948013024,2.3625343639400582
