id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
35797,https://www.airbnb.com/rooms/35797,20250927041820,2025-09-27,city scrape,Villa Dante,"Dentro de Villa un estudio de arte con futon, cocineta, y baño completo.","Santa Fe Shopping Mall, Interlomas Park and the Lion's Desert are very close to here.",https://a0.muscache.com/pictures/f395ab78-1185-451e-8121-b93b2999f916.jpg,153786,https://www.airbnb.com/users/show/153786,Dici,2010-06-28,"Mexico City, Mexico","Master in visual arts, film photography & Marketing
@School  of Fine Arts  Of Boston ,Harvard University , Anahuac university, San Idelfonso, La esmeralda. ;)
LOve arts, science & culture 
",N/A,N/A,N/A,f,https://a0.muscache.com/im/pictures/user/00de11fb-90ce-4d82-bcbe-4c2c2789c9f7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/00de11fb-90ce-4d82-bcbe-4c2c2789c9f7.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'work_email']",t,t,"Mexico City, D.f., Mexico",Cuajimalpa de Morelos,,19.38283,-99.27178,Entire villa,Entire home/apt,2,1.0,1 bath,1,1,"[""Garden view"", ""Resort access"", ""Washer"", ""Courtyard view"", ""Kitchen"", ""BBQ grill"", ""Free parking on premises"", ""Bed linens"", ""Wifi"", ""Hot water"", ""Pocket wifi"", ""Indoor fireplace""]","$3,673.00",1,7,1,1,7,7,1.0,7.0,,t,28,58,88,363,2025-09-27,0,0,0,94,0,0,0,,,,,,,,,,,f,1,1,0,0,
44616,https://www.airbnb.com/rooms/44616,20250927041820,2025-09-28,city scrape,Condesa Haus,"A new concept of hosting in mexico through a blend of art, comfort and technology, all at the Condesa, the most famous and trendy neighborhood in Mexico City.<br />The house has 5 rooms with private bathroom each room .",,https://a0.muscache.com/pictures/251410/ec75fe83_original.jpg,196253,https://www.airbnb.com/users/show/196253,Fernando,2010-08-09,"Mexico City, Mexico",Condesa Haus Rentals  offers independent  studios and aparments,within an hour,100%,92%,f,https://a0.muscache.com/im/users/196253/profile_pic/1315928046/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/196253/profile_pic/1315928046/original.jpg?aki_policy=profile_x_medium,Condesa,13,13,"['email', 'phone', 'work_email']",t,t,,Cuauhtémoc,,19.41162,-99.17794,Entire home,Entire home/apt,14,5.5,5.5 baths,5,8,"[""Piano"", ""Patio or balcony"", ""Wifi"", ""Refrigerator"", ""Microwave"", ""Stainless steel gas stove"", ""Kitchen"", ""Free parking on premises"", ""Host greets you"", ""TV"", ""Free street parking"", ""Shampoo"", ""Washer"", ""Iron"", ""Coffee maker: Nespresso"", ""Hangers"", ""Smoke alarm"", ""Essentials"", ""Carbon monoxide alarm"", ""Exterior security cameras on property"", ""Hair dryer"", ""Dishes and silverware"", ""Cooking basics"", ""Portable fans"", ""Backyard"", ""Dryer""]","$18,000.00",1,180,1,1,180,180,1.0,180.0,,t,25,55,85,360,2025-09-28,65,1,0,90,0,6,108000,2011-11-09,2025-01-01,4.59,4.56,4.7,4.87,4.78,4.98,4.47,,f,9,4,2,0,0.38
56074,https://www.airbnb.com/rooms/56074,20250927041820,2025-09-28,city scrape,Great space in historical San Rafael,"This great apartment is located in one of the oldest neighbourhoods in town, the area of San Cosme used to be one of the four entrances to the ancient city Tenochtitlan. Very near the Revolution Monument and just 10 minutes to downtown. Many points of interests, traditional market nearby and lots of stores. Accesible transport, 2 minutes away from the bus and subway that will take you anywhere, there are also plenty of taxis in the area. Great location if you want to really know the city.",Very traditional neighborhood with all services walking distance where you can feel safe.,https://a0.muscache.com/pictures/3005118/60dacad2_original.jpg,265650,https://www.airbnb.com/users/show/265650,Maris,2010-10-19,"Mexico City, Mexico","I am a University Professor now retired after 30 years at the Universidad Autónoma Metropolitana in Mexico City.

I am a Visual Artist showing my work in Museums in LatinAmerica, US, Europe. Researcher, lecturer, writer, professor.",within a day,100%,100%,t,https://a0.muscache.com/im/users/265650/profile_pic/1290966918/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/265650/profile_pic/1290966918/original.jpg?aki_policy=profile_x_medium,San Rafael,1,5,"['email', 'phone']",t,t,"Mexico City, DF, Mexico",Cuauhtémoc,,19.43977,-99.15605,Entire condo,Entire home/apt,2,1.0,1 bath,1,1,"[""Self check-in"", ""Dining table"", ""Elevator"", ""Wifi"", ""Hot water"", ""Microwave"", ""Refrigerator"", ""Building staff"", ""Kitchen"", ""Stove"", ""Cleaning products"", ""Paid parking on premises"", ""Extra pillows and blankets"", ""TV"", ""Luggage dropoff allowed"", ""Oven"", ""Shampoo"", ""Wine glasses"", ""Iron"", ""Coffee maker: Keurig coffee machine"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Long term stays allowed"", ""Freezer"", ""Smoking allowed"", ""Dishes and silverware"", ""Cooking basics""]",$591.00,15,250,15,15,250,250,15.0,250.0,,t,0,28,58,333,2025-09-28,84,1,0,63,0,30,17730,2011-04-02,2025-02-27,4.87,4.95,4.88,4.98,4.94,4.76,4.79,,f,1,1,0,0,0.48
67703,https://www.airbnb.com/rooms/67703,20250927041820,2025-09-28,previous scrape,"2 bedroom apt. deco bldg, Condesa","Comfortably furnished, sunny, 2 bedroom apt., on the second floor,  Colonia Condesa.",,https://a0.muscache.com/pictures/3281720/6f0786b9_original.jpg,334451,https://www.airbnb.com/users/show/334451,Nicholas,2011-01-04,"Mexico City, Mexico","I am a journalist writing about food, (book and blog: Good Food in Mexico City).  The 'deco apartment' I rent is my own, the other, 'luxury' flat is that of my best friend - I help rent it for her as she is not as computer and English savvy. I am not an agent!

My partner and I do a lot of traveling: We have been to Spain, France, Holland, Turkey, Greece, India, Cuba, Ecuador, China, Bangladesh. and all over Southeast Asia. Oh, and the  United States.",within a few hours,88%,43%,f,https://a0.muscache.com/im/users/334451/profile_pic/1395600180/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/334451/profile_pic/1395600180/original.jpg?aki_policy=profile_x_medium,Hipódromo,3,4,"['email', 'phone']",t,t,,Cuauhtémoc,,19.41152,-99.16857,Entire rental unit,Entire home/apt,4,,1 bath,2,,"[""Room-darkening shades"", ""Dedicated workspace"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Kitchen"", ""Stove"", ""Sound system"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Iron"", ""Bathtub"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Coffee maker"", ""Record player"", ""Dishes and silverware""]",,2,30,2,2,30,30,2.0,30.0,,t,0,9,9,252,2025-09-28,50,1,0,9,4,6,,2011-11-17,2024-10-30,4.9,4.82,4.76,4.94,4.92,4.98,4.92,,f,2,2,0,0,0.30
70644,https://www.airbnb.com/rooms/70644,20250927041820,2025-09-28,previous scrape,Beautiful light Studio Coyoacan- full equipped !,"COYOACAN designer studio quiet & safe! well equipped; super fast internet. Neighbor to Frida & Trotsky; Close to the main square; 5 mins walk to museums, the Coyoacan market, cafes & bars! Eco friendly & private  with its own patio & roof garden. Short and now long-term rental available! Experience, the market, the restaurants and cafes or cook at home. Your base in this great city. 5 minutes walk to the Cineteca, you will be staying a location of filmmakers, but who are dedicated to our guests.","Coyoacan is a beautiful neighborhood famous for its artists and for artisanal ice creams! Fantastic little cafe's and street life. Wonderful market, Frida and Trotsky around the corner. Its safe and quiet. Near Viveros, a wonderful class where one can run, walk, join a Tai Chi class, or watch the bullfighters practice with each other.. ( not with bulls!) like a choreographed ballet in the open air. Close to Roma and Condesa but without the noise of the city and without the pollution. Visit Cineteca only 5 minutes walk with its multi screens showing Mexican and International movies, with its cafe's and out door screen.",https://a0.muscache.com/pictures/f397d2da-d045-4be4-b71e-303855da7aac.jpg,212109,https://www.airbnb.com/users/show/212109,Trisha,2010-08-24,"Mexico City, Mexico","I am a documentary film maker & photo curator, originally from London, living in  Mexico City. I love photography & film, meeting people and hosting the apartment. Coyoacan is an amazing neighborhood and I enjoy introducing our guests to new places. We love hosting our visitors yet  respecting their total privacy. I have been a super host now for over 10 years... and take pride in taking care of our guests. It matters!",within a few hours,100%,89%,t,https://a0.muscache.com/im/users/212109/profile_pic/1324003289/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/212109/profile_pic/1324003289/original.jpg?aki_policy=profile_x_medium,Coyoacán,3,4,"['email', 'phone', 'work_email']",t,t,"Mexico City, Federal District, Mexico",Coyoacán,,19.35448,-99.16217,Entire rental unit,Entire home/apt,2,,1 bath,1,,"[""Private entrance"", ""Laundromat nearby"", ""Dining table"", ""Outdoor dining area"", ""Room-darkening shades"", ""Dedicated workspace"", ""Private patio or balcony"", ""Wifi"", ""Safe"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Game console"", ""Kitchen"", ""Stove"", ""Drying rack for clothing"", ""Cleaning products"", ""Cleaning available during stay"", ""Extra pillows and blankets"", ""Free street parking"", ""Portable heater"", ""Luggage dropoff allowed"", ""Varies conditioner"", ""Shampoo"", ""Wine glasses"", ""Washer"", ""Iron"", ""Shower gel"", ""Clothing storage"", ""Bathtub"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Outdoor furniture"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Toaster"", ""Exterior security cameras on property"", ""Hot water kettle"", ""Coffee maker: drip coffee maker, Nespresso"", ""Hair dryer"", ""Blender"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Varies body soap"", ""Fire extinguisher"", ""Mini fridge"", ""Dryer""]",,3,180,3,4,180,180,3.4,180.0,,t,4,19,49,234,2025-09-28,134,8,0,51,9,48,,2012-02-14,2025-08-18,4.91,4.9,4.96,4.96,4.98,4.96,4.92,,f,3,2,1,0,0.81
131610,https://www.airbnb.com/rooms/131610,20250927041820,2025-09-28,previous scrape,MARIA DEL ALMA,,,https://a0.muscache.com/pictures/837085/b9ed71bf_original.jpg,647454,https://www.airbnb.com/users/show/647454,Fernando,2011-05-31,"Mexico City, Mexico","",N/A,N/A,N/A,f,https://a0.muscache.com/im/pictures/user/0e6672ca-5950-4e04-932e-952e96caf7dd.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0e6672ca-5950-4e04-932e-952e96caf7dd.jpg?aki_policy=profile_x_medium,Coyoacán,3,4,['phone'],t,f,,Coyoacán,,19.35416,-99.16488,Private room,Private room,2,,1 private bath,2,,"[""Long term stays allowed"", ""Essentials"", ""Luggage dropoff allowed"", ""Smoking allowed"", ""Wifi"", ""Patio or balcony"", ""Fire extinguisher"", ""Breakfast"", ""Backyard"", ""TV with standard cable""]",,1,730,1,1,730,730,1.0,730.0,,,0,0,0,0,2025-09-28,0,0,0,0,0,0,,,,,,,,,,,,f,3,1,2,0,
165772,https://www.airbnb.com/rooms/165772,20250927041820,2025-09-28,city scrape,BEST 5 Bedroom HOUSE IN S. Miguel Chapultepec,"Welcome to Your Home in Mexico City<br />We have a great and charming  HOUSE in San Miguel Chapultepec, just 2 blocks away from Chapultpec Park and Polanco, heart of business in Mexico City, very near downtown and block away fom condesa<br />Quiet at night if you like long sleeps no trafic, quiet athmosfere and colonial style.<br />Location, location, and location, this beautifull HOUSE  is  in one of the last beautifull mexican barrio, is like comming to the real traditional mexico","San Miguel Chapultepec is the best kept secret in the City of Mexico, just on the  side of the big Chapultepec park, very close from large musems like the National Archeological, Modern Art, Contemporary Art, and big hotels area, all the goodies without the hassle of the busy streets. IF our President lives here there must be a reason.",https://a0.muscache.com/pictures/miso/Hosting-165772/original/65e8117e-bcbc-4fa6-81bb-da2b9ca5b6fd.jpeg,790208,https://www.airbnb.com/users/show/790208,Francisco Carlos,2011-07-07,"Mexico City, Mexico","We live in Mexico City and we really love it so badly so we decide to share our house and country with guests, I´m a Doctor and María José is a lawyer , we live in a quite small old neighborhood in Mexico City.
We like to think Guests are part of our life, part of our family,  they are giving us great experiences and interesting talks, we treat them as we would like to be treated when we travel, we really love Airbnb",within an hour,92%,93%,t,https://a0.muscache.com/im/pictures/user/5a5c6efb-c75d-4992-91b9-5c61da2e8061.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5a5c6efb-c75d-4992-91b9-5c61da2e8061.jpg?aki_policy=profile_x_medium,San Miguel Chapultepec,5,6,"['email', 'phone']",t,t,"Mexico City, Federal District, Mexico",Miguel Hidalgo,,19.40826,-99.18659,Entire home,Entire home/apt,16,5.0,5 baths,5,10,"[""Pack \u2019n play/Travel crib"", ""Self check-in"", ""Heating"", ""Outdoor dining area"", ""Keypad"", ""Dedicated workspace"", ""Patio or balcony"", ""Wifi"", ""High chair"", ""Hot water"", ""Children\u2019s books and toys"", ""Pocket wifi"", ""Refrigerator"", ""Microwave"", ""Paid parking off premises"", ""Babysitter recommendations"", ""Kitchen"", ""Housekeeping available from 10:00\u202fAM to 2:00\u202fAM, 3 days a week - available at extra cost"", ""Stove"", ""Free parking on premises"", ""Paid parking on premises"", ""Extra pillows and blankets"", ""Free street parking"", ""Luggage dropoff allowed"", ""Oven"", ""Shampoo"", ""Children\u2019s dinnerware"", ""Washer"", ""Iron"", ""BBQ grill"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Outdoor furniture"", ""Long term stays allowed"", ""Crib"", ""Ethernet connection"", ""TV with standard cable"", ""Smoking allowed"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Backyard"", ""Dryer"", ""Pets allowed""]","$3,673.00",2,365,2,2,365,365,2.0,365.0,,t,7,12,21,201,2025-09-28,386,28,0,21,38,168,617064,2011-07-28,2025-08-10,4.88,4.91,4.84,4.91,4.89,4.75,4.9,,f,5,5,0,0,2.24
171109,https://www.airbnb.com/rooms/171109,20250927041820,2025-09-28,city scrape,Cool room near WTC and Metrobus,"Stay in a private room 2 blocks away from WTC, Metrobus station and Food Market (Superama). Private bathroom and Free WiFi. Share a fully equipped kitchen. ","Great location, feel comfortable and secure at all times. Minimarket, restaurants and coffee shops in walking distance. ",https://a0.muscache.com/pictures/16040866/8b0ac5c4_original.jpg,816295,https://www.airbnb.com/users/show/816295,Carlos,2011-07-13,"Federal District, Mexico","Mexicano, apasionado jugador de tenis, emprendedor dedicado a los negocios online",within an hour,87%,89%,t,https://a0.muscache.com/im/pictures/user/User/original/9373304e-2316-4f1a-a59d-62f8ce5b09c1.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/9373304e-2316-4f1a-a59d-62f8ce5b09c1.jpeg?aki_policy=profile_x_medium,Nápoles,3,3,"['email', 'phone']",t,t,"Mexico City, Federal District, Mexico",Benito Juárez,,19.39675,-99.17581,Private room in rental unit,Private room,2,1.0,1 private bath,1,1,"[""Elevator"", ""Wifi"", ""Hot water"", ""Microwave"", ""Refrigerator"", ""Paid parking off premises"", ""Kitchen"", ""Host greets you"", ""Luggage dropoff allowed"", ""Shampoo"", ""Washer"", ""Iron"", ""Hangers"", ""Essentials"", ""Long term stays allowed"", ""Lock on bedroom door"", ""TV with standard cable"", ""Exterior security cameras on property"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Shared patio or balcony""]",$321.00,4,90,4,4,90,90,4.0,90.0,,t,0,0,26,301,2025-09-28,123,15,2,31,7,120,38520,2014-03-18,2025-09-07,4.84,4.86,4.61,4.98,4.95,4.97,4.83,,f,2,0,2,0,0.88
180808,https://www.airbnb.com/rooms/180808,20250927041820,2025-09-28,city scrape,"Huge Luxurious Suite 70's style, perfectly located","This huge ""Mad Men / Clockwork Orange "" Condo is located on a privileged spot in the City, Zona Rosa.  2 blocks from Paseo de la Reforma, the heart of the City; a couple of blocks from Roma and Condesa neighborhoods, cool barrios with intense urban life! Night life all around but still quiet on the spot. This is a traditional tourist quartier, just check the number of 5-star hotels located within blocks -Four Seasons, St. Regis, many more). Great Original Decor. Not a room, a unique experience!","The location can't be beaten. On the newly hipped Colonia Juárez, two blocks away from Paseo de la Reforma that takes you yo Polanco or Downtown, and two blocks the opposite direction from the world famous Roma - Condesa. <br /><br />Walk to the best museums in Mexico, to Bosque de Chapultepec (Best Urban Park in the World), and world class restaurants at Colonia Juárez o Colonia Roma. You can also walk to Polanco. The subway on the corner takes you downtown. Perfect for travelers.<br /><br />The Zona Rosa is a cosmopolitan neighborhood, built in the seventies, from where this condo is decorated by a major architect of the time.",https://a0.muscache.com/pictures/miso/Hosting-180808/original/2e3b3af6-d87a-418a-bade-4954b2aa4691.jpeg,36836,https://www.airbnb.com/users/show/36836,Roberto,2009-09-07,"Mexico City, Mexico","Mexico city, film maker, mi wife is graphic designer. I direct tv ads. My mother owns a Condo on Puerto Vallarta, my uncle a flat on Zona Rosa. I travel quite a bit and I like to keep the places I take care of the way I would like them to be if I was a guest. Contact me for any inquires!

Salut!",within an hour,100%,97%,t,https://a0.muscache.com/im/users/36836/profile_pic/1320686297/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/36836/profile_pic/1320686297/original.jpg?aki_policy=profile_x_medium,Juárez,2,6,"['email', 'phone']",t,t,"Colonia Juárez, Ciudad de México, Mexico",Cuauhtémoc,,19.4239,-99.1689,Entire loft,Entire home/apt,2,1.5,1.5 baths,1,1,"[""Laundromat nearby"", ""City skyline view"", ""Heating"", ""Dining table"", ""Room-darkening shades"", ""Elevator"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Stainless steel gas stove"", ""Dishwasher"", ""Paid parking off premises"", ""Kitchen"", ""Board games"", ""Cleaning products"", ""Host greets you"", ""Fast wifi \u2013 204 Mbps"", ""Free street parking"", ""Luggage dropoff allowed"", ""50 inch TV with standard cable"", ""Oven"", ""Shampoo"", ""Wine glasses"", ""Iron"", ""Bathtub"", ""Coffee"", ""Hangers"", ""Bidet"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Toaster"", ""Freezer"", ""Blender"", ""Hair dryer"", ""Coffee maker"", ""Palmolive body soap"", ""Dishes and silverware"", ""Cooking basics"", ""Fire extinguisher""]","$1,190.00",3,365,3,3,1125,1125,3.0,1125.0,,t,16,19,40,315,2025-09-28,62,10,1,45,5,60,71400,2012-04-25,2025-09-01,4.82,4.9,4.77,4.92,4.9,4.9,4.76,,f,1,1,0,0,0.38
187030,https://www.airbnb.com/rooms/187030,20250927041820,2025-09-28,previous scrape,Spacious apt with the best rooftop in Condesa,"This is a lovely apartment in Condesa.  You'll love spending time on the  day-beds,  and having fun with Argentinian grill and wood-fired pizza oven. It features a dedicated work space and has potential to host more guests if needed for short stays. It even has a private mini patio.<br />We just completed renovations on the apartment and the place looks better than ever!","Condesa is the place to be in Mexico City. Often nicknamed Mexico´s SOHO, this old neighborhood displays a vast amount of restaurants, bars, cafés, shops and galleries contained in Art deco buildings dating from the early 20th century. Our apartment is conveniently located at quiet street which allows rest and yet is only one block away from the main restaurant streets.",https://a0.muscache.com/pictures/0a74f125-df00-4408-b3b4-d6d9ef98b4b0.jpg,899360,https://www.airbnb.com/users/show/899360,Julian,2011-07-31,,Welcome home!,N/A,N/A,100%,t,https://a0.muscache.com/im/pictures/user/4c97ff31-4ada-4f13-a03a-702c469175c8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4c97ff31-4ada-4f13-a03a-702c469175c8.jpg?aki_policy=profile_x_medium,Condesa,6,8,"['email', 'phone']",t,t,"Mexico City, Federal District, Mexico",Cuauhtémoc,,19.41057,-99.1773,Entire rental unit,Entire home/apt,4,,1 bath,1,,"[""Pack \u2019n play/Travel crib"", ""Dining table"", ""Outdoor dining area"", ""Room-darkening shades"", ""Free washer \u2013 In building"", ""Dedicated workspace"", ""Patio or balcony"", ""Wifi"", ""Hot water"", ""Safe"", ""Refrigerator"", ""Microwave"", ""Fire extinguisher"", ""Dishwasher"", ""Free dryer \u2013 In building"", ""Paid parking off premises"", ""Outdoor kitchen"", ""Kitchen"", ""Cleaning products"", ""Host greets you"", ""TV with Netflix, premium cable, standard cable"", ""Extra pillows and blankets"", ""Gas stove"", ""Free street parking"", ""Portable heater"", ""Luggage dropoff allowed"", ""Shared backyard"", ""Oven"", ""Shampoo"", ""Wine glasses"", ""Iron"", ""BBQ grill"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Outdoor furniture"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""Ethernet connection"", ""Freezer"", ""Toaster"", ""Exterior security cameras on property"", ""Paid parking garage on premises \u2013 1 space"", ""Hair dryer"", ""Coffee maker"", ""Barbecue utensils"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Portable fans""]",,4,365,4,4,365,365,4.0,365.0,,t,0,0,0,0,2025-09-28,103,0,0,0,0,0,,2011-11-01,2023-09-08,4.57,4.66,4.66,4.83,4.88,4.92,4.5,,f,6,6,0,0,0.61
