lambda,beta_age,beta_weight,beta_protein,rmse_train,rmse_test,r2_train,r2_test,mae_train,mae_test
1,10.234887602565877,0.387839849696486,1.7461282238980562,5.285306025320863,6.757428578970812,0.7992213737704684,0.6895648895172417,4.200486405957168,5.392455088003464
2,10.171226570869656,0.3935414148563378,1.7367581446211418,5.286481793008622,6.757064330589428,0.7991320335211409,0.6895983556316432,4.20218174704907,5.385798689736308
3,10.108365333442991,0.3990723172270783,1.7274875031949029,5.288405156562788,6.757344757701285,0.7989858446485193,0.689572590938981,4.203862798479177,5.381478869863205
4,10.04628868175879,0.40443757519137985,1.7183147376338752,5.2910473783253105,6.758245685046283,0.7987849308979111,0.6894898095521345,4.206456381913568,5.377219210884872
5,9.984981795895118,0.4096420374670703,1.709238318141036,5.294380522655911,6.759743684391188,0.7985313364509058,0.6893521419874074,4.209214892864071,5.373018465463323
6,9.924430232045149,0.41469038974667843,1.7002567462954945,5.298377447344387,6.761816056723371,0.7982270292594059,0.6891616386963448,4.212354985981742,5.3688754204910465
7,9.864619910511117,0.41958716103968785,1.6913685542641297,5.303011794144759,6.764440814545509,0.7978739042214956,0.6889202734287846,4.215450147141761,5.36478889592516
8,9.805537104160269,0.4243367297325277,1.6825723040363678,5.308257978490914,6.767596664289273,0.7974737862075916,0.6886299464362118,4.219116955576544,5.360757743668863
9,9.747168427322059,0.4289433293804794,1.673866586681345,5.314091178455701,6.771262988865885,0.7970284329448207,0.6882924875239387,4.223430913242258,5.3567808464979985
10,9.689500825106812,0.43341105424489457,1.6652500216267199,5.320487323016881,6.775419830370841,0.7965395377670978,0.6879096589601283,4.227687985909422,5.352857117030585
11,9.632521563127185,0.4377438645883543,1.6567212559584146,5.327423079693987,6.780047872959499,0.7960087322379368,0.6874831582492051,4.231889294164041,5.348985496737344
12,9.57621821760457,0.44194559173971953,1.6482789637406152,5.334875841620142,6.785128425909475,0.7954375886526212,0.6870146207767535,4.236035929293619,5.34516495499133
13,9.52057866584367,0.44601994294035624,1.6399218453553541,5.342823714112249,6.790643406884955,0.7948276224259695,0.6865056223325912,4.2406714218697,5.341394488154875
14,9.465591077059125,0.4499705059821985,1.6316486268610484,5.351245500801844,6.796575325417048,0.7941802943715798,0.6859576815183188,4.246088219489332,5.337673118702133
15,9.411243903539019,0.45380075364774236,1.6234580593693768,5.360120689387277,6.802907266613391,0.793497012878092,0.6853722620452818,4.252463525879689,5.333999894375638
16,9.357525872130768,0.4575140479615103,1.6153489184399004,5.369429437065983,6.809622875109144,0.792779135987698,0.6847507749285415,4.259096050898217,5.3303738873753375
17,9.304425976035636,0.46111364426201606,1.6073200034918544,5.379152555703256,6.816706339270459,0.7920279733818311,0.6840945805821381,4.266968558958342,5.328225573105675
18,9.251933466898778,0.46460269510278007,1.5993701372325646,5.38927149679151,6.8241423756604895,0.7912447882786884,0.683404990820623,4.27534037695319,5.326986263383629
19,9.200037847182372,0.4679842539904868,1.5914981651019466,5.399768336251223,6.831916213776896,0.7904307992469821,0.682683270771566,4.283717889660634,5.325771462514675
20,9.148728862809966,0.4712612789679528,1.5837029547325874,5.410625759122012,6.840013581068797,0.7895871819400695,0.6819306407034723,4.292447864148435,5.324580578796384
21,9.097996496070772,0.47443663604916914,1.5759833954248983,5.421827044189247,6.848420688240034,0.788715070754384,0.681148277773309,4.3015191138085855,5.32341303782565
22,9.04783095877315,0.47751310251330337,1.5683383976368723,5.433356048588736,6.857124214844672,0.787815560415873,0.6803373176975955,4.310536506233412,5.322268281901178
23,8.99822268563704,0.4804933700641916,1.5607668924879832,5.445197192428926,6.8661112951796435,0.7868897074979496,0.6794988563508088,4.319683845867158,5.321145769449832
24,8.949162327915603,0.48338004786150934,1.5532678312767727,5.457335443467126,6.8753695044785275,0.7859385318742692,0.678633951294642,4.329760668422224,5.320044974475746
25,8.900640747236727,0.48617566542949603,1.545840185011703,5.469756301873285,6.884886845409545,0.7849630181094704,0.6777436232414655,4.340107397880239,5.319251791583189
26,8.852649009655591,0.4888826754488088,1.538482943954861,5.482445785112008,6.894651734880029,0.7839641167908474,0.6768288574551602,4.350629014753743,5.3204070598392885
27,8.805178379909774,0.49150345643679694,1.531195117178107,5.495390412970636,6.9046529911488035,0.7829427458037632,0.6758906050923219,4.361840583216011,5.321554211761816
28,8.758220315868849,0.49404031532121884,1.5239757321312808,5.508577192758566,6.914879821247143,0.7818997915534673,0.6749297844866762,4.373401871639032,5.323622282957674
29,8.71176646317079,0.4964954899121782,1.5168238342221039,5.521993604700343,6.925321808708312,0.7808361101358378,0.6739472823793945,4.384840663254257,5.327070176675323
30,8.665808650037787,0.49887115127681053,1.5097384864073977,5.535627587542609,6.935968901604955,0.7797525284594369,0.6729439550978585,4.396752347033308,5.3304819759419075
31,8.620338882264505,0.5011694060210327,1.5027187687952868,5.549467524392597,6.946811400893097,0.7786498453211486,0.6719206296852864,4.40956850145985,5.33385825137395
32,8.575349338372007,0.5033922984824467,1.4957637782580397,5.563502228803666,6.9578399490608245,0.7775288324375413,0.6708781049835137,4.422415238091071,5.337199561481858
33,8.530832364921011,0.5055418128383007,1.4888726280552265,5.577720931121245,6.969045519079321,0.7763902354339987,0.6698171526710954,4.435129672601724,5.340506452992902
34,8.486780471978292,0.5076198751322067,1.4820444474668777,5.592113265100585,6.98041940365337,0.7752347747935467,0.6687385182587897,4.4477138615968865,5.343779461163794
35,8.443186328730409,0.509628355223141,1.4752783814363442,5.606669254805897,6.991953204768037,0.7740631467672185,0.66764292204438,4.46016981879699,5.3470191100832665
36,8.40004275923914,0.5115690686600868,1.4685735902225583,5.621379301798726,7.003638823527881,0.7728760242476912,0.6665310600286851,4.472499516161899,5.350225912965031
37,8.357342738333285,0.5134437784855059,1.461929249061421,5.636234172621838,7.015468450284645,0.771674057607857,0.66540360479452,4.484723068545938,5.355829340914741
38,8.315079387631688,0.5152541969706874,1.4553445478360334,5.6512249865834265,7.027434555049119,0.7704578755058951,0.66426120635028,4.4977182101920965,5.363526958492055
39,8.273245971692607,0.5170019872858637,1.4488186907555152,5.666343203845102,7.0395298781825435,0.7692280856583409,0.6631044929397355,4.510692752834382,5.372485565537751
40,8.231835894284705,0.5186887651078552,1.4423508960421483,5.681580613815917,7.051747421362752,0.7679852755825703,0.6619340718195462,4.523743090863922,5.381350451850135
41,8.190842694775197,0.5203161001678772,1.4359403956266006,5.696929323853531,7.064080438819957,0.7667300133100505,0.66075053000593,4.5366633901968765,5.390123092904441
